afterStem,beforeStem
'90,'90s
'active','active'
'advers,'adverse
'after,'after
'anastomot,'anastomotic
'artifici,'artificial
'artificial','artificial'
'at,'at
'augmenting','augmenting'
'better','better'
'call,'call
'certainli,'certainly
'challenge','challenge'
'clean','clean'
'clinic,'clinical
'cognit,'cognitive
'comput,'computer
'covid,'covid
'current,'current
'data,'data
'deviant','deviant'
'digit,'digital
'duct','duct'
'earli,'early
'easy','easy'
'essenti,'essential
'essential','essential'
'european,'european
'ex,'ex
'extended','extended'
'facilit,'facilitators
'fit,'fit
'footprint','footprint'
'from,'from
'fulcrum,'fulcrum
'global,'global
'gold,'gold
'govern,'governing
'grit','grit'
'guilti,'guilty
'hi,'hi
'high,'high
'high','high'
'how,'how
'human,'human
'human','human'
'in,'in
'incontinence','incontinence'
'innov,'innovation
'intellig,'intelligence
'intelligence','intelligence'
'interfer,'interference
'knowledg,'knowledge
'laparoscopy','laparoscopy'
'live,'live
'low,'low
'low','low'
'medium','medium'
'mental,'mental
'minimal','minimal'
'moderate','moderate'
'muscl,'muscle
'musculoskelet,'musculoskeletal
'müllerian','müllerian'
'new,'new
'non,'non
'not,'not
'occup,'occupational
'one,'one
'other','other'
'over,'over
'pathway,'pathway
'pen,'pen
'perform,'performance
'personalis,'personalisation
'post,'post
'pre,'pre
'recommend,'recommended
'recommended','recommended'
'relat,'related
'remnants','remnants'
'robo,'robo
'robot,'robot
'robotic','robotic'
'robotised','robotised'
'satisfaction','satisfaction'
'see,'see
'sens,'sense
'sign,'sign
'sometimes','sometimes'
'standard,'standard
'standard','standard'
'steepest,'steepest
'stricture','stricture'
'strong','strong'
'success','success'
'tailored','tailored'
'technical','technical'
'transform,'transform
'trifecta','trifecta'
'usefulness','usefulness'
'users','users'
'veri,'very
'weak','weak'
'weight','weight'
'what,'what
000,000
0000000158,0000000158
00001,00001
00002,00002
0001,0001
0002,0002
0003,0003
0004,0004
0005,0005
0006,0006
0008,0008
00095,00095
001,001
0010,0010
0013,0013
002,002
0026,0026
0028,0028
003,003
0032,0032
0033,0033
0038,0038
004,004
005,005
006,006
0066,0066
007,007
008,008
0083,0083
0089,0089
009,009
00909,00909
00mm,00mm
010,010
011,011
012,012
013,013
0135,0135
014,014
0149,0149
015,015
0159,0159
016,016
017,017
0176,0176
018,018
0189,0189
019,019
0198,0198
01mm,01mm
020,020
02020,02020
021,021
022,022
023,023
024,024
025,025
0251,0251
026,026
027,027
028,028
029,029
0294,0294
030,030
031,031
033,033
034,034
035,035
036,036
037,037
038,038
039,039
03cm2,03cm2
040,040
041,041
0418,0418
042,042
043,043
044,044
045,045
046,046
0463,0463
047,047
048,048
049,049
050,050
052,052
053,053
055,055
060,060
063,063
068,068
069,069
0733,0733
074,074
075,075
082,082
084,084
089,089
0890,0890
08mm,08mm
094,094
095,095
100,100
1000,1000
1007,1007
100ml,100ml
101,101
1012,1012
1013,1013
1016,1016
102,102
1020,1020
1024,1024
1025,1025
103,103
1032,1032
1034,1034
104,104
105,105
1051,1051
1056,1056
106,106
1067,1067
107,107
1077,1077
1078,1078
108,108
108th,108th
109,109
1091,1091
10mm,10mm
110,110
1105,1105
1108,1108
111,111
1119,1119
112,112
1120,1120
1122,1122
1126,1126
113,113
1130,1130
1138,1138
114,114
1140,1140
1144,1144
115,115
1150,1150
116,116
1167,1167
117,117
1173,1173
118,118
1186,1186
119,119
1193,1193
1197,1197
11mm,11mm
11mo,11mo
120,120
1202,1202
1206,1206
121,121
1212,1212
1216,1216
122,122
122437,122437
1225,1225
1228,1228
123,123
124,124
125,125
1258,1258
126,126
127,127
128,128
1280,1280
1287,1287
129,129
1298,1298
12g,12g
12i,12y
12th,12th
130,130
1300,1300
1302,1302
131,131
1310,1310
131min,131min
132,132
1322,1322
134,134
13402,13402
1348,1348
135,135
136,136
137,137
1374,1374
138,138
1386,1386
139,139
1397,1397
13i,13y
140,140
141,141
1420,1420
1425,1425
143,143
1432,1432
144,144
1449,1449
145,145
146,146
1462,1462
1463,1463
147,147
148,148
149,149
14i,14y
150,150
15066,15066
151,151
152,152
153,153
15330,15330
154,154
1549,1549
155,155
1551,1551
1559,1559
156,156
1563,1563
1566,1566
157,157
158,158
159,159
1593,1593
1595,1595
15a,15a
15q13,15q13
15th,15th
16,16s
160,160
1600,1600
1601,1601
1604,1604
161,161
162,162
163,163
1630,1630
164,164
165,165
1657,1657
166,166
1662,1662
1664,1664
167,167
168,168
1680,1680
169,169
1691,1691
16p11,16p11
170,170
1702,1702
171,171
1718,1718
172,172
173,173
174,174
1743,1743
175,175
1750,1750
1752,1752
176,176
1760,1760
17605,17605
1770,1770
178,178
1785,1785
179,179
1792,1792
180,180
1801,1801
1803,1803
181,181
1815,1815
1816,1816
182,182
183,183
1832,1832
1839,1839
184,184
185,185
186,186
1868,1868
1874,1874
1875,1875
188,188
1880,1880
1887,1887
189,189
18f,18f
18th,18th
190,190
190',190'
1900,1900
190093,190093
1902,1902
1909,1909
191,191
1910,1910
192,192
1920,1920
1921,1921
19256,19256
193,193
1946,1946
195,195
1950,1950s
196,196
1960,1960s
197,197
1970,1970
1978,1978
198,198
1980,1980s
1985,1985
1986,1986
1987,1987
1988,1988
1989,1989
199,199
1990,1990s
1991,1991
1993,1993
1997,1997
1998,1998
1999,1999
19mm,19mm
1b1,1b1
1mm,1mm
1mo,1mo
1q21,1q21
1st,1st
1week,1week
200,200
200',200'
2000,2000
200037,200037
2001,2001
20013,20013
2002,2002
2003,2003
2004,2004
2005,2005
2006,2006
2007,2007
2008,2008
2009,2009
201,201
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
202,202
2020,2020
2021,2021
2021six,2021six
2022,2022
2023,2023
2024,2024
2025,2025
2029,2029
203,203
204,204
205,205
2051,2051
2058,2058
206,206
206',206'
2066,2066
207,207
208,208
209,209
2092,2092
20th,20th
210,210
2105,2105
2114,2114
212,212
213,213
2131,2131
214,214
215,215
216,216
217,217
219,219
21st,21st
22',22'
220,220
221,221
2219,2219
222,222
224,224
225,225
226,226
227,227
228,228
229,229
22q11,22q11
230,230
2301,2301
2304,2304
231,231
2316,2316
232,232
2325,2325
233,233
234,234
235,235
2350,2350
236,236
237,237
238,238
239,239
2399,2399
23rd,23rd
240,240
2401,2401
241,241
2411,2411
2415,2415
242,242
243,243
