keyword,rank
dive,98.42092408990686
diver,56.333031292171896
risk,47.347856140921586
pressur,36.35458749190942
use,34.672009690318575
studi,32.37142538061019
result,31.593007163822175
increas,30.466848876535852
ga,29.34530929038786
may,27.116329585213766
decompress,24.220654953894847
patient,23.181207231545603
water,19.67100761271444
injuri,19.012819027035956
group,17.910564618892312
oxygen,17.896825287437302
dc,17.763170474794837
effect,17.59560551964424
includ,17.22318391553518
time,16.596299100601687
breath,15.721684577665064
year,15.59635746457471
treatment,15.508092082979058
method,15.246015651974629
factor,15.085509092442873
report,14.85871977750835
associ,14.802504463357405
case,14.31557035180606
hyperbar,14.257148041138628
activ,13.919852095913862
